Academia Româna Spitalul Universitar de Urgenta “Elias”,727
Centru de recuperare ACASA,630
Centrul de Boli Reumatismale Ion Stoia,693
Centrul de Evaluare si Tratament a Toxicodependentelor Primaria Municipiului Bucuresti,679
Centrul de Sanatate RATB,789
Centrul Medical Clinic de Recuperare Neuropsihomotorie Copii Dr. N. Robanescu,783
Centrul Medical de Evaluare si Recuperare pentru Copii si Tineri Cristian Serban Buzias,756
Institutul Clinic de Urologie si Transplant Renal,736
Institutul Clinic Fundeni,773
Institutul de Boli Cardiovasculare prof. dr. G. I. M. Georgescu,747
Institutul de Boli Cardiovasculare Timisoara,754
Institutul de Fonoaudiologie si Chirurgie Functionala ORL Prof. Dr. Dorin Hociota,762
Institutul de Pneumoftiziologie Marius Nasta,771
Institutul de Urgenta pentru Boli Cardiovasculare prof. dr. C.C. Iliescu,769
Institutul de Urgenta pentru Boli Cardiovasculare si Transplant Targu Mures,807
Institutul Inimii de Urgenta pentru Boli Cardiovasculare N. Stancioiu,734
Institutul National de Boli Infectioase prof. dr. Matei Bals,766
"Institutul National de Diabet, Nutritie si Boli Metabolice N.C. Paulescu",772
Institutul National de Endocrinologie CI Parhon,763
Institutul National de Geriatrie si Gerontologie Ana Aslan,765
Institutul National de Neurologie si Boli Neurovasculare,764
"Institutul National de Recuperare, Medicina Fizica si Balneoclimatologie",767
Institutul Oncologic prof. dr. Al. Trestioreanu,768
Institutul Oncologic prof. dr. I. Chiricuta,735
Institutul pentru Ocrotirea Mamei si Copilului prof. Dr. A. Rusescu,770
Institutul Regional de Gastroenterologie-Hepatologie Prof. dr. Octavian Fodor Cluj,738
Institutul Regional de Oncologie Iasi,746
"Ministerul Administratiei si Internelor Spitalul Clinic de Urgenta Avram Iancu, Oradea",795
Ministerul Apararii Nationale Spitalul Militar de Urgenta Dr. Alexandru Popescu- Focsani,798
Ministerul Apararii Nationale Spitalul Clinic de Urgenta de Boli Cardiovasculare “Äcademician Vasile Candea”- Bucuresti,799
Ministerul Apararii Nationale Sanatoriul Baltatesti,800
Ministerul Apararii Nationale Spitalul Universitar de Urgenta Militar Central “Dr. Carol Davila” - Bucuresti,714
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Regina Maria” - Brasov,715
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Constantin Papilian” – Cluj Napoca,716
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Cr. Alexandru Gafencu”- Constanta,717
Ministerul Apararii Nationale Spitalul Clinic Militar de Urgenta “Dr. Stefan Odobleja”- Craiova,718
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Aristide Serfioti”- Galati,720
Ministerul Apararii Nationale Spitalul Clinic Militar de Urgenta “Dr. Iacob Czihac”- Iasi,721
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Ion Jianu”- Pitesti,722
Ministerul Apararii Nationale Spitalul Militar de Urgenta “Dr. Alexandru Augustin”- Sibiu,723
Ministerul Apararii Nationale Spitalul Clinic Militar de Urgenta “DR. Victor Popescu” - Timisoara,724
Ministerul Justitiei - Administratia Nationala a Penitenciarelor Penitenciar Spital Jilava,796
Ministerul Justitiei - Administratia Nationala a Penitenciarelor Penitenciar Spital Rahova,708
Ministerul Justitiei - Administratia Nationala a Penitenciarelor Penitenciar Spital Dej,710
Ministerul Justitiei - Administratia Nationala a Penitenciarelor Penitenciar Spital Colibasi,711
Ministerul Justitiei - Administratia Nationala a Penitenciarelor Penitenciar Spital Poarta Alba,713
Ministerul Sanatatii Spitalul GENERAL Cai Ferate SIBIU,703
Ministerul Transporturilor si Infrastructurii Spitalul general CF Ploiesti,792
Ministerul Transporturilor si Infrastructurii Spitalul general CF Pascani Iasi,793
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Cai Ferate IASI,694
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Cai Ferate Oradea,695
Ministerul Transporturilor si Infrastructurii Spitalul GENERAL Cai Ferate BRASOV,696
Ministerul Transporturilor si Infrastructurii Spitalul UNIVERSITAR Cai Ferate CLUJ NAPOCA,697
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Cai Ferate CONSTANTA,698
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Cai Ferate CRAIOVA,699
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Cai Ferate GALATI,700
Ministerul Transporturilor si Infrastructurii Spitalul GENERAL Cai Ferate SIMERIA,701
Ministerul Transporturilor si Infrastructurii Spitalul GENERAL Cai Ferate TR. SEVERIN,702
Ministerul Transporturilor si Infrastructurii Spitalul GENERAL Cai Ferate TIMISOARA,704
Ministerul Transporturilor si Infrastructurii Spitalul Clinic Nr.1 Cai Ferate Witing,705
"Penitenciarul Spital Targu Ocna Str. Crizantemelor, nr.9, Tg. Ocna, Bacau",801
Preventoriul TBC Ilisua Consiliul Local Uriu,460
Preventoriul TBC pentru Copii Deleni Consiliul Local Deleni,576
Sanatoriul Balnear si de Recuperare Mangalia,739
Sanatoriul Balnear si de Recuperare Techirghiol,741
Sanatoriul Balneoclimateric de Copii Busteni,753
Sanatoriul de Neuropsihiatrie Podriga Consiliul Judetean Botosani,465
Sanatoriul de Nevroze Predeal,732
Sanatoriul de Pneumoftiziologie Brad Consiliul Judetean Hunedoara,562
Sanatoriul de Pneumoftiziologie Geoagiu Consiliul Judetean Hunedoara,561
Spitalul Boli Cronice Sebis Consiliul Local Sebis,431
Spitalul Clinic de Urgent a pt Copii,504
Spitalul Clinic Municipal de Urgenta Timisoara Consiliul Local Timisoara,655
Spitalul Clinic Colentina Bucuresti Primaria Municipiului Bucuresti,682
Spitalul Clinic Coltea Bucuresti Primaria Municipiului Bucuresti,685
Spitalul Clinic de Boli Infectioase Cluj Napoca Consiliul Judetean Cluj,495
Spitalul Clinic de Boli Infectioase Constanta Consiliul Local Constanta,507
Spitalul Clinic de Boli Infectioase Iasi Consiliul Judetean Iasi,569
Spitalul Clinic de Boli Infectioase si Pneumoftiziologie Craiova babes Consiliul Local Craiova,521
Spitalul Clinic de Boli Infectioase Timisoara Consiliul Local Timisoara,656
Spitalul Clinic de Boli Infectioase Victor Babes Primaria Municipiului Bucuresti,687
Spitalul Clinic de Chirurgie Oro-maxilo-faciala Primaria Municipiului Bucuresti,681
Spitalul Clinic de Copii Brasov Consiliul Judetean Brasov,467
Spitalul Clinic de Copii Gomoiu Primaria Municipiului Bucuresti,686
Spitalul Clinic de Nefrologie Dr. Carol Davila BucureSti,785
Spitalul Clinic de Neuropsihiatrie Craiova Consiliul Local Craiova,522
Spitalul Clinic de Obstetrica si Ginecologie Filantropia,784
Spitalul Clinic de Obstetrica-Ginecologie Brasov Consiliul Judetean Brasov,468
Spitalul Clinic de Obstetrica-Ginecologie Iasi ELENA DOAMNA Consiliul Judetean Iasi,570
Spitalul Clinic de Obstetrica-Ginecologie Iasi CUZA VODA Consiliul Judetean Iasi,568
Spitalul Clinic de Obstetrica-Ginecologie Panait Sirbu Primaria Municipiului Bucuresti,689
Spitalul Clinic de Ortopedie-Traumatologie Foisor Primaria Municipiului Bucuresti,683
Spitalul Clinic de Pediatrie Sibiu Consiliul Local Sibiu,633
Spitalul Clinic de Pneumoftiziologie Cluj Napoca Consiliul Judetean Cluj,494
Spitalul Clinic de Pneumoftiziologie Constanta Consiliul Judetean Constanta,506
Spitalul Clinic de Pneumoftiziologie Iasi Consiliul Judetean Iasi,571
Spitalul Clinic de Psihiatrie Obregia Primaria Municipiului Bucuresti,677
Spitalul Clinic de Psihiatrie Socola,750
Spitalul Clinic de Recuperare Cluj-Napoca Consiliul Judetean Cluj,496
Spitalul Clinic de Recuperare Iasi Consiliul Local Iasi,573
Spitalul Clinic de Recuperare Medicala Baile Felix,730
"Spitalul Clinic de Recuperare, Medicina Fizica si Balneologie Eforie Nord",740
Spitalul Clinic de Urgenta,774
Spitalul Clinic de Urgenta Bagdasar-Arseni,776
Spitalul Clinic de Urgenta Chirurgie Plastica Reparatorie si Arsi,778
Spitalul Clinic de Urgenta Iasi OBLU,566
Spitalul Clinic de Urgenta pentru Copii Grigore Alexandrescu,779
Spitalul Clinic de Urgenta pentru Copii M.S. Curie,780
Spitalul Clinic de Urgenta pentru Copii SF MARIA Iasi Consiliul Judetean Iasi,567
Spitalul Clinic de Urgenta pentru Copii Sf. Ioan Galati Consiliul Local Galati,531
Spitalul Clinic de Urgenta pentru Copii Timisoara Consiliul Local Timisoara,654
Spitalul Clinic de Urgenta Sf. Ioan,781
Spitalul Clinic de Urgenta Sf. Pantelimon,775
Spitalul Clinic de Urgente Oftalmologice,782
Spitalul Clinic Dr. C.I. Parhon Iasi Consiliul Local Iasi,572
Spitalul Clinic Dr. Ion Cantacuzino,690
Spitalul Clinic Judetean de Urgenta Arad Consiliul Judetean Arad,426
Spitalul Clinic Judetean de Urgenta Brasov Consiliul Judetean Brasov,466
Spitalul Clinic Judetean de Urgenta Cluj-Napoca,737
Spitalul Clinic Judetean de Urgenta Constanta Consiliul Judetean Constanta,505
